Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,,,,,Experiment ID
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0,R,19.4,1.443298969,0,0.102189781,2,,,,,SW60N2
Hirosawa (1975),323.4,323.4,401.8,18.6,0.0067,0.0071,0.007,0.000569661,F,15.41666667,0.581081081,0.247440273,0,3,,,,,Kokusho_2-6 (47)
Park et al. (2015),653,477,667,46.5,0.0066,0.097,0.0068,0,R,7.5,1.166666667,0,0.06953405,3,,,,,S2
Hirosawa (1975),382.2,382.2,382.2,16.1,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,3,,,,,Kokusho_1-6 (40)
Tran (2012),477,443,423,57.5,0.0061,0.0606,0.0061,0.012979684,R,8.019736842,1.500410172,0,0.015862497,4,,,,,RW-A15-P2.5-S64
Hube et al. (2017),446,632,632,28.9,0.0017,0.001669507,0.0017,0.006,R,18.82352941,1.09375,0,0,3,,,,,WSL8
Gebreyohaness et al (2014),351,351,488,16.2,0.0013,0.014,0.0011,0,R,5.652173913,1.846153846,0,0,2,,,,,WPS4
Oesterle et al. (1976),525,525,525,38.4,0.003,0.0389,0.0071,0.014336,F,16.68627451,2.686251469,0.258923513,0,2,,,,,F1
Hsiao et al.(2008),364.56,364.56,515.48,27.3,0.0036,0.004595717,0.0036,0.001132925,B,31.25,0.8,0,0,2,,,,,LW1
Hube et al. (2014),445.6,523.9,445.6,27.4,0.0067,0.0049,0.0046,0,R,9.333333333,2.5,0,0.150156413,2,,,,,W4
Hirosawa (1975),323.4,323.4,401.8,15.4,0.0055,0.0071,0.0063,0.000569661,F,18.5,0.581081081,0.270186335,0,3,,,,,Kokusho_2-4 (45)
Hirosawa (1975),406.7,414.9,414.9,14.7,0.005,0.0568,0.0108,0.037187413,R,10.625,1,0,0.133333333,2,,,,,Hirosawa_7-5 (76)
Hwang et al. (2004),364,364,571,13.9,0.0019,0.019,0.0019,0.010263398,B,29.16666667,0.442857143,0,0,2,,,,,WF-12
Hirosawa (1975),294,294,294,43.4,0.0183,0.047,0.0183,0.001570796,B,45,1.066666667,0.307692308,0,3,,,,,Tanabe_3-2 (111)
Hirosawa (1975),623.3,623.3,623.3,26,0.0016,0.0081,0.0014,0.002261947,B,21.875,1.071428571,0.235849057,0.053338171,2,,,,,Endo_1-3 (3)
Christidis and Trezos (2017),572,568,568,31.12,0.01206,0.012314789,0.00113,0,R,6,1.866666667,0,0,2,,,,,W11
Hirosawa (1975),571.3,571.3,284.2,19.6,0.0032,0.0177,0.0033,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-4 (143)
Hirosawa (1975),284.2,284.2,294,30.1,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,3,,,,,Tanabe_2-6 (102)
Hube et al. (2017),446,604,604,28.9,0.0025,0.002455157,0.0025,0.006,R,18.82352941,1.09375,0,0,3,,,,,WSL7
Tokunaga and Nakachi (2012),393,372,393,61.3,0.0291,0,0.0116,0,R,4.777777778,1.511627907,0,0.199805253,2,,,,,No3
Villalobos (2014),434,530.9,482.6,31,0.004,0.049,0.0055,0.0123,R,7.507389163,2.17519685,0,0.092671375,2,,,,,W40C
Hirosawa (1975),323.4,323.4,401.8,17.9,0.0044,0.0071,0.005,0.000569661,F,14.8,0.581081081,0.242339833,0,3,,,,,Kokusho_2-3 (44)
Park et al. (2015),653,667,667,46.5,0.0066,0.097,0.0051,0,R,7.5,1.166666667,0,0.06953405,3,,,,,S1
Oesterle et al. (1979),453.4,481.6,453.4,42,0.0029,0.0367,0.0138,0.0135,B,12.69607843,3.530501931,0.292402716,0.08946765,2,,,,,B8
Hirosawa (1975),323.4,323.4,323.4,43.7,0.0122,0.047,0.0122,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_4-11 (128)
Hirosawa (1975),294,294,294,42.5,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,3,,,,,Tanabe_3-8 (117)
Park et al. (2015),653,667,667,46.5,0.0054,0.097,0.0051,0.0498,B,5.5,1.590909091,0.176470588,0.072738773,3,,,,,S4
Hirosawa (1975),284.2,284.2,294,34.3,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_2-9 (105)
Barda et al. (1977),527,495.4,477.5,23.4,0.005,0.041,0.005,0.003652109,F,16.68627451,1.119271445,0.208761123,0,3,,,,,B8-5
Hirosawa (1975),284.2,284.2,284.2,19.6,0.0069,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,3,,,,,Sugano_2-7 (146)
Hirosawa (1975),323.4,323.4,401.8,16.8,0.0073,0.0152,0.0072,0.000569661,F,16.81818182,1.081081081,0.258313539,0,3,,,,,Kokusho_3-8 (55)
Oesterle et al. (1976),531.9,531.9,531.9,53.6,0.0029,0.0367,0.0063,0.000302312,B,12.69607843,3.530501931,0.292402716,0,2,,,,,B2
Pilakoutas et al. (1995),540,550,550,32,0.0047,0.0302,0.0039,0.0078,R,10,2,0,0,2,,,,,SW7
Hirosawa (1975),294,294,294,46.1,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,3,,,,,Tanabe_3-6 (115)
Liu et al. (2009),444,458.4,458,45.9,0.0147,0.0555,0.0184,0.0226,B,6.684210526,5,0.384848485,0.075151832,2,,,,,M05C
Cheng et al. (2016),475,475,453,42,0.0082,0.052,0.0082,0.0141,R,10.00985222,1,0,0,4,,,,,H60X
Tomazevic et al. (1996),478,478,538,41.1,0.0026,0.023,0.0026,0.001679157,R,19.4,1.443298969,0,0.102189781,2,,,,,SW23C2
Hidalgo et al. (2002),370,370,370,18.1,0.0026,0.053333333,0.0026,0.0026,R,14,0.5,0,0,2,,,,,13
Barda et al. (1977),539,500.9,500.9,25.7,0.005,0.041,0.005,0.003652109,F,16.68627451,0.279670975,0.208761123,0,3,,,,,B7-5
Tokunaga and Nakachi (2012),393,372,393,32.5,0.0291,0,0.0116,0,R,4.777777778,1.511627907,0,0.399920493,2,,,,,No4
Hube et al. (2017),446,604,604,28.9,0.002,0.001964126,0.002,0.003,R,16,1.09375,0,0,4,,,,,WSL2
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.0038,0.010967475,0.001999477,0.002999215,B,12.5,1.333333333,0.003448276,0,2,,,,,MWF1
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0.001647541,R,19.4,1.443298969,0,0.051094891,2,,,,,SW60C1
Hirosawa (1975),406.7,419,419,17.2,0.005,0.0568,0.0026,0.009296853,R,10.625,1,0,0.113953488,2,,,,,Hirosawa_7-1 (72)
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0.001647541,R,19.4,1.443298969,0,0.102189781,2,,,,,SW60C2
Liu et al. (2009),475,544.7,544.3,56.4,0.0147,0.0555,0.0184,0.0226,B,6.684210526,5,0.384848485,0.0611608,2,,,,,M10C
Tomazevic et al. (1996),478,478,538,41.1,0.0026,0.023,0.0026,0.001679157,R,19.4,1.443298969,0,0.051094891,2,,,,,SW23C1
Massone et al. (2009),424,424,424,31.4,0.00227,0.0133,0.00278,0,R,8.026315789,1.12295082,0,0.000101333,2,,,,,WP-T5-N10-S2
