Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,Experiment ID
Aanasopoulou (2010),317.0112922,317.0112922,243.5574562,33.77053448,0.0067,0.014,0.0067,0.169206349,R,10,1.3,0,0,1,S9
Han et al. (2002),395,335,335,34.2,0.0032,0.0127,0.0028,0.0099,R,7.5,2,0,0.1,1,W2
Hidalgo et al. (2002),362,362,362,16.3,0.0026,0.053333333,0.0013,0.0013,R,14,0.5,0,0,2,11
Christidis and Trezos (2017),588,588,588,31.12,0.01433,0.024242177,0.00669,0.0669,R,6,1.866666667,0,0,1,W7
Hidalgo et al. (2002),471,471,471,18.1,0.0013,0.047222222,0.0025,0.0025,R,10.83333333,0.692307692,0,0,2,7
Barda et al. (1977),528,496.1,496.1,21.2,0.0025,0.041,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,2,B6-4
Hirosawa (1975),323.4,323.4,323.4,43.8,0.0122,0.047,0.0122,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_4-10 (127)
Hirosawa (1975),406.7,421.3,421.3,20.8,0.005,0.0568,0.0057,0.018593707,R,10.625,1,0,0.094230769,2,Hirosawa_7-3 (74)
SLDRCE (2008),352,392,392,19.7,0.004843924,0.0167,0.004650167,0.007265886,R,8,2,0,0.216293368,1,Zhang_SW1-2
Tran (2012),472,516,423,47.1,0.0027,0.0323,0.0027,0.013,R,8.019736842,2,0,0.073449667,2,RW-A20-P10-S38
Hirosawa (1975),323.4,323.4,323.4,43.9,0.0244,0.047,0.0244,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_4-5 (122)
SLDRCE (2008),352,392,392,19.7,0.004843924,0.0167,0.004650167,0.007265886,R,8,2,0,0.324440053,1,Zhang_SW1-3
Oh et al. (2006),342,342,449,27.6,0.0032,0.0127,0.0028,0.0099,R,7.5,1.333333333,0,0.080701754,1,HRI-W2
Gebreyohaness et al (2014),490,490,631,19.3,0.0013,0.014,0.0011,0,R,5.652173913,1.846153846,0,0.051986761,2,WPS10
Hirosawa (1975),382.2,382.2,382.2,22.4,0.0036,0.0068,0.0041,0.000684169,F,12.33333333,0.581081081,0.223880597,0,2,Kokusho_1-2 (36)
Tomazevic et al. (1996),478,478,538,54.8,0.0026,0.023,0.0026,0,R,19.4,1.443298969,0,0.038321168,2,SW23N1
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW5-2
Hirosawa (1975),323.4,323.4,401.8,17.9,0.0073,0.0152,0.0072,0.000569661,F,16.81818182,1.081081081,0.258313539,0,2,Kokusho_3-7 (54)
Tasnimi (2000),276,216,276,23.5,0.0028,0.0224,0.0028,0,R,10,2.2,0,0,1,SHW4
Deng et al.(2008),433.3,361.6,361.6,58.85,0.001669108,0.018720636,0.005280179,0.006400218,R,10,2,0,0.136487221,1,HPCW-02
Nakamura et al. (2009),296,296,296,41.8,0.0156,0.0156,0.0156,0.0156,F,25.66666667,0.727272727,0.25477707,0.046536797,2,I-2
Hidalgo et al. (2002),366,366,366,19,0.0013,0.0625,0.0025,0.0025,R,21.25,0.352941176,0,0,2,15
Tomazevic et al. (1996),478,478,478,41.1,0.0026,0,0.0026,0,R,19.4,1.443298969,0,0.051094891,2,SW00N1
Hube et al. (2017),446,446,446,28.9,0.002,0.001964126,0.002,0.008,R,16,1.09375,0,0,2,WSL5
